front_images_url,product_name,brand,category,gender,regular_price,current_price,discount_rate,color_text,material,details,sizes_available,fit,length,sleeve_length,style,lining,thickness,season,transparency,elasticity,rating,reviews,product_detail_url,crawled_at
,balenciaga sacré cœur medium fit hoodie,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga sacré coeur low waist sweatpants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga sacré cœur medium fit zip-up hoodie,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga sacré cœur medium fit t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,salon de couture cropped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,salon de couture regular fit zip-up hoodie,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga back medium fit hoodie,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga back low waist sweatpants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga sacré cœur cropped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga back medium fit t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wet brush medium fit hoodie,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,messy spray chopped back t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,messy spray chopped back t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,fitted bustier top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped crewneck,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,520 stickers cropped t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,bodies tracksuit jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,bodies tracksuit pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,folded tracksuit jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,loop sports icon tracksuit pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,bomber jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,large tailored pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,zip-up sweater,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,godet maxi skirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,tucked sleeves shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wrap shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cocoon short trench,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,bathrobe coat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,hourglass puffer,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,hourglass mini dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wrap dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,hourglass parka,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,denim jacket regular fit,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,godet maxi skirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wide leg baggy pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,standard bomber jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,skinny pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,short wrap coat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
